	Measurement	Sample Name	Wavelength (nm)	Temperature Start (°C)	Temperature End (°C)	Run	Ramp Type	gi	file_name	Sample	bg in mM	[Buffer] in mM	Monovalent Ion	Concentration	Concentration Unit	deri_fit_Tm_C	deri_fit_dEd/dT	deri_fit_DTm	direct_melt_Tm_C	direct_melt_DTm	direct_melt_DH_J/mol	direct_melt_DDH	direct_melt_m1	direct_melt_Dm1	direct_melt_n1	direct_melt_Dn1	direct_melt_m2	direct_melt_Dm2	direct_melt_n2	direct_melt_Dn2	direct_melt_DS_J/mol/K	direct_melt_DDS
0	1	5 mM MgCl2	260.0	90.0	21.0	1	Cooling	1	2023-07-26_RNA_melting_MgCl2.csv																							
1	2	5 mM MgCl2	260.0	21.0	90.0	1	Heating	2	2023-07-26_RNA_melting_MgCl2.csv																							
2	3	5 mM MgCl2	260.0	90.0	21.0	2	Cooling	3	2023-07-26_RNA_melting_MgCl2.csv																							
3	4	5 mM MgCl2	260.0	21.0	90.0	2	Heating	4	2023-07-26_RNA_melting_MgCl2.csv																							
4	5	1 mM MgCl2	260.0	90.0	21.0	1	Cooling	5	2023-07-26_RNA_melting_MgCl2.csv																							
5	6	1 mM MgCl2	260.0	21.0	90.0	1	Heating	6	2023-07-26_RNA_melting_MgCl2.csv																							
6	7	1 mM MgCl2	260.0	90.0	21.0	2	Cooling	7	2023-07-26_RNA_melting_MgCl2.csv																							
7	8	1 mM MgCl2	260.0	21.0	90.0	2	Heating	8	2023-07-26_RNA_melting_MgCl2.csv																							
8	9	0.1 mM MgCl2	260.0	90.0	21.0	1	Cooling	9	2023-07-26_RNA_melting_MgCl2.csv																							
9	10	0.1 mM MgCl2	260.0	21.0	90.0	1	Heating	10	2023-07-26_RNA_melting_MgCl2.csv																							
10	11	0.1 mM MgCl2	260.0	90.0	21.0	2	Cooling	11	2023-07-26_RNA_melting_MgCl2.csv																							
11	12	0.1 mM MgCl2	260.0	21.0	90.0	2	Heating	12	2023-07-26_RNA_melting_MgCl2.csv																							
12	13	0 mM MgCl2	260.0	90.0	21.0	1	Cooling	13	2023-07-26_RNA_melting_MgCl2.csv																							
13	14	0 mM MgCl2	260.0	21.0	90.0	1	Heating	14	2023-07-26_RNA_melting_MgCl2.csv																							
14	15	0 mM MgCl2	260.0	90.0	21.0	2	Cooling	15	2023-07-26_RNA_melting_MgCl2.csv																							
15	16	0 mM MgCl2	260.0	21.0	90.0	2	Heating	16	2023-07-26_RNA_melting_MgCl2.csv																							
16	17	5 mM MgCl2	400.0	90.0	21.0	1	Cooling	17	2023-07-26_RNA_melting_MgCl2.csv																							
17	18	5 mM MgCl2	400.0	21.0	90.0	1	Heating	18	2023-07-26_RNA_melting_MgCl2.csv																							
18	19	5 mM MgCl2	400.0	90.0	21.0	2	Cooling	19	2023-07-26_RNA_melting_MgCl2.csv																							
19	20	5 mM MgCl2	400.0	21.0	90.0	2	Heating	20	2023-07-26_RNA_melting_MgCl2.csv																							
20	21	1 mM MgCl2	400.0	90.0	21.0	1	Cooling	21	2023-07-26_RNA_melting_MgCl2.csv																							
21	22	1 mM MgCl2	400.0	21.0	90.0	1	Heating	22	2023-07-26_RNA_melting_MgCl2.csv																							
22	23	1 mM MgCl2	400.0	90.0	21.0	2	Cooling	23	2023-07-26_RNA_melting_MgCl2.csv																							
23	24	1 mM MgCl2	400.0	21.0	90.0	2	Heating	24	2023-07-26_RNA_melting_MgCl2.csv																							
24	25	0.1 mM MgCl2	400.0	90.0	21.0	1	Cooling	25	2023-07-26_RNA_melting_MgCl2.csv																							
25	26	0.1 mM MgCl2	400.0	21.0	90.0	1	Heating	26	2023-07-26_RNA_melting_MgCl2.csv																							
26	27	0.1 mM MgCl2	400.0	90.0	21.0	2	Cooling	27	2023-07-26_RNA_melting_MgCl2.csv																							
27	28	0.1 mM MgCl2	400.0	21.0	90.0	2	Heating	28	2023-07-26_RNA_melting_MgCl2.csv																							
28	29	0 mM MgCl2	400.0	90.0	21.0	1	Cooling	29	2023-07-26_RNA_melting_MgCl2.csv																							
29	30	0 mM MgCl2	400.0	21.0	90.0	1	Heating	30	2023-07-26_RNA_melting_MgCl2.csv																							
30	31	0 mM MgCl2	400.0	90.0	21.0	2	Cooling	31	2023-07-26_RNA_melting_MgCl2.csv																							
